,mean_accuracy,AUC,sensitivity,specificity,precision,MPE
new_output_data.csv,0.8227215980024969,0.7447123228893986,0.5565031982942431,0.9329214474845543,0.7744807121661721,-inf
output_predicted_mptm_no_lag_2.csv,0.8211610486891385,0.7824452711843563,0.651595744680851,0.9132947976878613,0.8032786885245902,-inf
output_predicted_mptm_no_lag_3.csv,0.8227215980024969,0.7447123228893986,0.5565031982942431,0.9329214474845543,0.7744807121661721,-inf
output_predicted_spm_no_lag-2.csv,0.8211610486891385,0.7824452711843563,0.651595744680851,0.9132947976878613,0.8032786885245902,-inf
output_predicted_spm_no_lag_3.csv,0.8227215980024969,0.7447123228893986,0.5565031982942431,0.9329214474845543,0.7744807121661721,-inf
"new_output_data.csv_viscodes_1,2,3,4",0.8632958801498127,0.6026081268906875,0.22839506172839505,0.9768211920529801,0.6379310344827587,-inf
"output_predicted_mptm_no_lag_3.csv_viscodes_1,2,3,4",0.8632958801498127,0.6026081268906875,0.22839506172839505,0.9768211920529801,0.6379310344827587,-inf
"output_predicted_spm_no_lag_3.csv_viscodes_1,2,3,4",0.8632958801498127,0.6026081268906875,0.22839506172839505,0.9768211920529801,0.6379310344827587,-inf
"new_output_data.csv_viscodes_1,2,3,4,5",0.8247191011235955,0.6582752607655962,0.3543046357615894,0.9622458857696031,0.7328767123287672,-inf
"output_predicted_mptm_no_lag_3.csv_viscodes_1,2,3,4,5",0.8247191011235955,0.6582752607655962,0.3543046357615894,0.9622458857696031,0.7328767123287672,-inf
"output_predicted_spm_no_lag_3.csv_viscodes_1,2,3,4,5",0.8247191011235955,0.6582752607655962,0.3543046357615894,0.9622458857696031,0.7328767123287672,-inf
"new_output_data.csv_viscodes_1,3",0.8895131086142322,0.5909770920991118,0.18840579710144928,0.9935483870967742,0.8125,-inf
"output_predicted_mptm_no_lag_2.csv_viscodes_1,3",0.8895131086142322,0.5909770920991118,0.18840579710144928,0.9935483870967742,0.8125,-inf
"output_predicted_spm_no_lag-2.csv_viscodes_1,3",0.8895131086142322,0.5909770920991118,0.18840579710144928,0.9935483870967742,0.8125,-inf
"new_output_data.csv_viscodes_1,3,5",0.8177278401997503,0.6986979503426871,0.44976076555023925,0.9476351351351351,0.752,-inf
"output_predicted_mptm_no_lag_2.csv_viscodes_1,3,5",0.8177278401997503,0.6986979503426871,0.44976076555023925,0.9476351351351351,0.752,-inf
"output_predicted_spm_no_lag-2.csv_viscodes_1,3,5",0.8177278401997503,0.6986979503426871,0.44976076555023925,0.9476351351351351,0.752,-inf
"new_output_data.csv_viscodes_1,3,5,6",0.8211610486891385,0.7824452711843563,0.651595744680851,0.9132947976878613,0.8032786885245902,-inf
"output_predicted_mptm_no_lag_2.csv_viscodes_1,3,5,6",0.8211610486891385,0.7824452711843563,0.651595744680851,0.9132947976878613,0.8032786885245902,-inf
"output_predicted_spm_no_lag-2.csv_viscodes_1,3,5,6",0.8211610486891385,0.7824452711843563,0.651595744680851,0.9132947976878613,0.8032786885245902,-inf
